date,open,high,low,close,Volume
2015-01-02,103.0442,103.0904,99.3069,101.1385,53204626
2015-01-05,100.1765,100.5095,97.5122,98.2893,64285491
2015-01-06,98.5576,99.3809,96.7907,98.2985,65797116
2015-01-07,99.1681,100.0932,98.701,99.6769,40105934
2015-01-08,101.046,103.7472,100.5557,103.5067,59364547
2015-01-09,104.2283,104.7648,101.9526,103.6177,53699527
2015-01-12,104.1635,104.1913,100.6482,101.0645,49650790
2015-01-13,103.0812,104.3485,100.75,101.9618,67091928
2015-01-14,100.8703,102.2116,100.3707,101.5733,48956588
2015-01-15,101.7583,101.8138,98.6686,98.8166,60013996
2015-01-16,99.0109,99.5196,97.318,98.0488,78513345
2015-01-20,99.7602,100.8025,98.5206,100.5742,49899907
2015-01-21,100.787,102.7389,100.1579,101.342,48575897
2015-01-22,101.9989,104.0433,101.4993,103.9785,53796409
2015-01-23,103.886,105.2274,103.1737,104.5151,46464828
2015-01-26,105.2181,105.7941,104.3485,104.6261,55614979
2015-01-27,103.997,104.0525,100.861,100.9628,95568749
2015-01-28,108.812,109.2699,106.6705,106.6705,146477063
2015-01-29,107.6048,110.2598,106.9018,109.9915,84436432
2015-01-30,109.529,111.0091,108.0951,108.3819,83745461
2015-02-02,109.2052,110.2413,107.3828,109.7417,62739100
2015-02-03,109.6215,110.1673,108.7982,109.7602,51915749
2015-02-04,109.6215,111.4809,109.4448,110.6021,70149743
2015-02-05,111.4658,111.6608,110.7506,111.3915,42246245
2015-02-06,111.4658,111.6794,110.0077,110.4534,43706567
2015-02-09,110.1005,111.2986,109.9891,111.1871,38889797
2015-02-10,111.6051,113.444,111.5958,113.3232,62008506
2015-02-11,114.0198,116.0165,113.769,115.9794,73561797
2015-02-12,117.0753,118.3941,116.6202,117.4468,74474466
2015-02-13,118.2083,118.2083,116.6945,118.0226,54272219
2015-02-17,118.4033,119.6943,117.874,118.7191,63152405
2015-02-18,118.5287,119.6014,118.3662,119.541,44891737
2015-02-19,119.3228,119.8336,119.1835,119.2949,37362381
2015-02-20,119.4528,120.2701,118.9234,120.2654,48948419
2015-02-23,120.753,123.5206,120.4187,123.5206,70974110
2015-02-24,123.4649,124.0779,121.8211,122.7498,69228130
2015-02-25,122.1833,122.2204,119.0163,119.6107,74711746
2015-02-26,119.606,121.5424,117.5861,121.1199,91287529
2015-02-27,120.7345,121.2638,119.0999,119.3042,62014847
2015-03-02,120.0379,120.9945,119.1556,119.8893,48096663
2015-03-03,119.7686,120.2887,118.9606,120.1401,37816283
2015-03-04,119.8986,120.3258,119.1742,119.3785,31666340
2015-03-05,119.4157,119.5735,116.7967,117.4003,56517146
2015-03-06,119.2485,120.1494,117.261,117.5768,72842060
2015-03-09,118.8399,120.3351,116.1465,118.0783,88528487
2015-03-10,117.4003,118.1526,114.9763,115.6357,68856582
2015-03-11,115.8586,115.8772,113.4068,113.5275,68938974
2015-03-12,113.5925,115.9979,112.961,115.58,48362719
2015-03-13,115.5336,116.4578,113.8433,114.7813,51827283
2015-03-16,115.0506,116.0444,114.1126,116.0444,35874300
2015-03-17,116.9267,118.2455,116.6945,117.9854,51023104
2015-03-18,117.9483,119.9543,117.3632,119.3135,65270945
2015-03-19,119.5735,120.0334,118.3198,118.408,45809490
2015-03-20,119.1092,119.2485,116.2394,116.9267,68695136
2015-03-23,118.0597,118.7377,117.5025,118.1433,37709674
2015-03-24,118.1619,118.9141,117.5396,117.6604,32842304
2015-03-25,117.5211,117.7811,114.5863,114.5863,51655177
2015-03-26,114.0105,115.9794,113.8619,115.385,47572869
2015-03-27,115.6915,115.8122,114.1498,114.4655,39546151
2015-03-30,115.2085,117.391,115.1621,117.3632,47099670
2015-03-31,117.1031,117.4746,115.4918,115.5614,42090553
2015-04-01,115.9236,116.2023,114.3262,115.3943,40621437
2015-04-02,116.1187,116.6109,115.3386,116.388,32220131
2015-04-06,115.5986,118.4219,115.4686,118.2733,37193975
2015-04-07,118.5427,118.9901,117.001,117.0288,35012268
2015-04-08,116.8802,117.391,116.063,116.6481,37329243
2015-04-09,116.8802,117.5582,115.7751,117.5396,32483974
2015-04-10,116.9731,118.1433,116.3323,118.0411,40187953
2015-04-13,119.2206,119.4064,117.5861,117.809,36365123
2015-04-14,117.9483,118.2176,116.936,117.2982,25524593
2015-04-15,117.4003,118.069,117.0288,117.744,28970419
2015-04-16,117.2796,118.0411,117.1217,117.1774,28368987
2015-04-17,116.6016,117.1496,115.5893,115.8586,51957046
2015-04-20,116.6202,118.9884,116.2487,118.5055,47054310
2015-04-21,118.9699,119.0627,117.6418,117.8647,32435057
2015-04-22,117.939,119.685,117.3167,119.4528,37654505
2015-04-23,119.1556,121.1245,119.007,120.428,45770902
2015-04-24,121.1895,121.3196,120.0193,120.9945,44525905
2015-04-27,122.8798,123.6414,121.8025,123.1956,96954207
2015-04-28,124.8719,124.9509,120.3351,121.2545,118923970
2015-04-29,120.883,122.2111,119.1556,119.4714,63386083
2015-04-30,118.4126,118.7656,115.7008,116.2301,83195423
2015-05-01,117.1124,120.8552,116.3694,119.7593,58512638
2015-05-04,120.2701,121.2638,119.1185,119.5271,50988278
2015-05-05,119.0163,119.2947,116.8152,116.8338,49271416
2015-05-06,117.5396,117.7161,114.5677,116.1001,72141010
2015-05-07,116.3613,117.583,115.6618,116.8183,43940895
2015-05-08,118.1426,119.0192,117.611,119.0192,55550382
2015-05-11,118.8047,118.9632,117.1587,117.8068,42035757
2015-05-12,117.1353,118.3291,116.4079,117.3825,48160032
2015-05-13,117.6483,118.6182,117.3871,117.5177,34694235
2015-05-14,118.8234,120.2596,118.5902,120.2596,45203456
2015-05-15,120.3715,120.7632,119.5694,120.0917,38208034
2015-05-18,119.728,121.9103,119.7093,121.416,50882918
2015-05-19,121.8823,122.0595,120.9031,121.3041,44633240
2015-05-20,121.2388,122.1528,120.6233,121.2948,36454932
2015-05-21,121.3041,122.759,121.0803,122.5351,39730364
2015-05-22,122.731,124.0086,122.5445,123.6076,45595972
2015-05-26,123.6636,123.9527,120.4181,120.8844,70697560
2015-05-27,121.5559,123.3465,121.2854,123.146,45833246
2015-05-28,122.9735,123.0574,122.2647,122.8988,30733309
2015-05-29,122.3859,122.5911,121.1455,121.4999,50884452
2015-06-01,122.3579,122.5351,121.2854,121.7378,32112797
2015-06-02,121.1082,121.8497,120.6046,121.2015,33667627
2015-06-03,121.8543,122.1155,121.1455,121.3507,30983542
2015-06-04,120.8471,121.7797,120.2223,120.6419,38450118
2015-06-05,120.7725,120.9497,119.7093,119.9798,35626800
2015-06-08,120.2129,120.502,118.2824,119.1871,52674786
2015-06-09,118.1612,119.4482,117.154,118.8327,56075420
2015-06-10,119.299,120.6233,119.2337,120.1943,39087250
2015-06-11,120.4741,121.4067,119.8166,119.9238,35390887
2015-06-12,119.5461,119.6814,118.5436,118.5995,36886246
2015-06-15,117.6016,118.6648,117.2379,118.3664,43988946
2015-06-16,118.469,119.2337,117.8534,119.0006,31494131
2015-06-17,119.1125,119.2617,118.1985,118.7208,32918071
2015-06-18,118.6555,119.6627,118.6462,119.2617,35407220
2015-06-19,119.1031,119.2057,117.8814,118.0679,54716887
2015-06-22,118.898,119.4296,118.5156,119.0099,34039345
2015-06-23,118.8886,119.0099,118.3283,118.469,30268863
2015-06-24,118.6368,121.0523,118.5529,119.4762,55280855
2015-06-25,120.1756,120.4927,118.9073,118.9073,31938100
2015-06-26,119.0658,119.3643,117.984,118.2078,44066841
2015-06-29,117.0048,117.9467,116.0908,116.1375,49161427
2015-06-30,117.1074,117.6203,116.4452,116.9721,44370682
2015-07-01,118.3477,118.385,117.4991,118.0679,30238811
2015-07-02,117.9094,118.1519,117.2939,117.9187,27210952
2015-07-06,116.5198,117.7229,116.4359,117.5084,28060431
2015-07-07,117.4058,117.6483,115.4287,117.2193,46946811
2015-07-08,116.0908,116.24,114.2816,114.3095,60761614
2015-07-09,115.5033,115.6991,111.1853,111.978,78595038
2015-07-10,113.722,115.5033,113.0412,114.9717,61354474
2015-07-13,116.6038,117.2799,115.9416,117.1913,41440538
2015-07-14,117.5457,117.8534,116.6131,117.1447,31768139
2015-07-15,117.2473,118.5809,117.1167,118.2731,33649200
2015-07-16,119.1311,119.9052,118.7674,119.8492,36222447
2015-07-17,120.3808,120.8844,119.6627,120.8844,46164710
2015-07-20,122.1434,124.0086,121.8916,123.1693,58900203
2015-07-21,123.8967,123.962,121.5372,121.9383,76756427
2015-07-22,113.7686,117.0421,113.7686,116.7809,115450607
2015-07-23,117.6949,118.5249,116.6317,116.725,50999452
2015-07-24,116.8742,117.2659,115.5499,116.1095,42162332
2015-07-27,114.7945,115.2795,113.8899,114.4961,44455540
2015-07-28,115.065,115.5592,114.2909,115.065,33618097
2015-07-29,114.8505,115.1769,114.0298,114.7012,37011653
2015-07-30,114.0764,114.3094,113.5075,114.123,33628268
2015-07-31,114.3375,114.3772,112.7614,113.1251,42884953
2015-08-03,113.3117,114.3095,109.5999,110.4579,69975968
2015-08-04,109.5066,109.7678,105.6177,106.914,124138623
2015-08-05,105.3379,109.5253,104.5452,107.6228,99312613
2015-08-06,108.6439,109.1404,106.9061,107.857,52903040
2015-08-07,107.3417,108.9062,107.2668,108.2223,38670405
2015-08-10,109.1685,112.4099,109.1685,112.157,54951597
2015-08-11,110.3677,110.7143,106.1707,106.3206,97082814
2015-08-12,105.4212,108.1286,102.7044,107.96,101685610
2015-08-13,108.7095,109.0467,107.3042,107.8757,48535789
2015-08-14,107.0981,108.9624,106.8077,108.6345,42929516
2015-08-17,108.7095,110.2178,108.2036,109.7587,40884745
2015-08-18,109.0748,110.021,108.6814,109.1404,34560708
2015-08-19,108.7657,109.1591,107.4354,107.7445,48286510
2015-08-20,106.8733,107.1262,104.5781,105.5336,68501622
2015-08-21,103.4539,104.831,98.9711,99.0789,128275471
2015-08-24,88.8768,101.9268,86.1881,96.6057,162206292
2015-08-25,104.0909,104.0909,96.9617,97.1865,103601599
2015-08-26,100.3202,102.948,98.4137,102.7606,96774611
2015-08-27,105.1589,106.0864,103.0698,105.7866,84616056
2015-08-28,105.0839,106.1519,104.4937,106.1332,53164407
2015-08-31,105.0465,107.2949,104.9247,105.6367,56229271
2015-09-01,103.2197,104.8123,100.5778,100.9151,76845860
2015-09-02,103.051,105.2432,102.2369,105.2432,61888812
